season,lg,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
2002.0,NBA,Adrian Griffin,griffad01,27.0,DAL,SG,58.0,34.0,1383.0,14.2,0.545,0.15,0.136,5.6,12.7,9.2,11.3,2.8,0.6,9.9,13.8,2.3,1.2,3.5,0.121,-0.3,1.6,1.3,1.1
2002.0,NBA,Eddie Griffin,griffed01,19.0,HOU,PF,73.0,24.0,1896.0,13.8,0.456,0.41,0.129,7.0,18.2,12.5,4.8,0.5,4.8,6.3,18.4,1.0,1.4,2.4,0.061,-0.3,-0.6,-0.9,0.5
2002.0,NBA,Tom Gugliotta,guglito01,32.0,PHO,PF,44.0,40.0,1129.0,9.7,0.449,0.03,0.123,5.8,16.4,11.1,10.2,1.8,1.9,16.1,15.0,-0.4,1.4,0.9,0.04,-3.3,1.1,-2.2,-0.1
2002.0,NBA,A.J. Guyton,guytoaj01,23.0,CHI,PG,45.0,6.0,607.0,11.8,0.477,0.504,0.111,2.3,6.3,4.2,23.6,0.9,0.9,12.6,22.2,0.0,0.0,0.1,0.006,1.3,-2.8,-1.6,0.1
2002.0,NBA,Darvin Ham,hamda01,28.0,MIL,SF,70.0,2.0,1208.0,9.7,0.571,0.033,0.583,9.1,10.1,9.7,9.1,1.1,2.2,23.8,13.5,0.7,0.6,1.2,0.05,-3.3,-0.3,-3.6,-0.5
2002.0,NBA,Richard Hamilton,hamilri01,23.0,WAS,SG,63.0,57.0,2203.0,16.9,0.511,0.039,0.311,3.8,7.6,5.7,14.6,0.9,0.5,9.7,28.6,3.4,0.6,4.0,0.087,1.5,-2.4,-0.9,0.6
2002.0,NBA,Tang Hamilton,hamilta01,23.0,MIA,SF,9.0,2.0,98.0,10.9,0.514,0.053,0.053,7.2,14.2,10.7,8.5,2.2,0.0,9.3,10.4,0.1,0.2,0.2,0.12,-2.3,2.1,-0.2,0.0
2002.0,NBA,Zendon Hamilton,hamilze01,26.0,DEN,PF,54.0,15.0,848.0,13.5,0.499,0.0,0.739,14.1,20.2,17.0,2.7,1.3,1.6,15.6,20.3,0.4,0.6,1.1,0.061,-2.7,-2.5,-5.2,-0.7
2002.0,NBA,Anfernee Hardaway,hardaan01,30.0,PHO,SG,80.0,55.0,2462.0,13.9,0.472,0.089,0.209,4.4,11.7,8.0,21.1,2.6,0.9,15.7,21.9,0.1,2.8,2.9,0.056,-1.3,0.8,-0.4,1.0
2002.0,NBA,Tim Hardaway,hardati01,35.0,2TM,PG,68.0,16.0,1601.0,13.6,0.492,0.571,0.156,1.0,7.7,4.3,27.0,1.9,0.4,14.3,21.8,1.2,0.6,1.8,0.053,1.0,-1.6,-0.5,0.6
2002.0,NBA,Tim Hardaway,hardati01,35.0,DAL,PG,54.0,2.0,1276.0,13.4,0.49,0.565,0.158,1.2,7.2,4.2,23.7,1.6,0.4,12.1,21.3,1.2,0.4,1.6,0.059,1.0,-1.6,-0.6,0.4
2002.0,NBA,Tim Hardaway,hardati01,35.0,DEN,PG,14.0,14.0,325.0,14.2,0.499,0.595,0.151,0.3,9.6,4.7,40.1,2.8,0.5,22.0,23.7,0.0,0.2,0.2,0.029,1.3,-1.4,-0.1,0.2
2002.0,NBA,Matt Harpring,harprma01,25.0,PHI,SF,81.0,81.0,2541.0,14.1,0.512,0.082,0.265,9.2,16.3,12.8,7.5,1.5,0.1,12.0,19.1,2.6,3.6,6.1,0.115,-0.5,-0.3,-0.8,0.8
2002.0,NBA,Al Harrington,harrial01,21.0,IND,PF,44.0,1.0,1313.0,14.3,0.526,0.006,0.298,8.5,15.1,11.9,7.3,1.6,1.1,12.5,21.6,1.2,1.4,2.6,0.094,-1.5,-0.4,-1.9,0.0
2002.0,NBA,Lucious Harris,harrilu01,31.0,NJN,SG,74.0,0.0,1553.0,15.7,0.556,0.22,0.294,3.5,11.5,7.5,12.3,1.8,0.3,9.1,19.3,3.0,2.1,5.1,0.157,0.8,0.6,1.4,1.3
2002.0,NBA,Othella Harrington,harriot01,28.0,NYK,PF,77.0,4.0,1563.0,13.0,0.567,0.004,0.382,9.3,16.6,12.9,4.2,1.0,1.7,15.3,18.5,1.6,1.4,3.0,0.092,-2.6,-0.4,-2.9,-0.4
2002.0,NBA,Jason Hart,hartja01,23.0,SAS,PG,10.0,0.0,92.0,13.5,0.601,0.105,0.316,5.2,10.9,8.1,20.9,4.1,0.8,27.0,15.0,0.1,0.2,0.3,0.142,-3.7,3.6,0.0,0.0
2002.0,NBA,Antonio Harvey,harvean01,31.0,SEA,PF,5.0,3.0,47.0,7.8,0.349,0.0,0.167,12.8,9.9,11.3,15.1,1.1,4.8,18.9,15.7,0.0,0.0,0.0,-0.007,-4.1,1.0,-3.1,0.0
2002.0,NBA,Donnell Harvey,harvedo01,21.0,2TM,PF,47.0,4.0,841.0,14.1,0.526,0.0,0.415,10.4,20.5,15.3,7.2,1.3,2.1,11.4,15.4,1.1,0.7,1.8,0.105,-1.5,-0.4,-1.9,0.0
2002.0,NBA,Donnell Harvey,harvedo01,21.0,DAL,PF,18.0,0.0,162.0,10.1,0.533,0.0,0.846,8.4,23.0,15.8,4.3,1.3,2.2,18.3,12.2,0.1,0.2,0.3,0.075,-3.6,0.5,-3.1,0.0
2002.0,NBA,Donnell Harvey,harvedo01,21.0,DEN,PF,29.0,4.0,679.0,15.0,0.525,0.0,0.356,10.9,19.9,15.2,7.9,1.3,2.1,10.2,16.2,1.0,0.5,1.6,0.112,-1.0,-0.6,-1.6,0.1
2002.0,NBA,Trenton Hassell,hassetr01,22.0,CHI,SG,78.0,47.0,2237.0,10.4,0.502,0.263,0.182,3.3,10.2,6.7,13.0,1.3,1.5,13.0,16.0,0.6,0.9,1.5,0.033,-1.7,-1.0,-2.7,-0.4
